Stimulus	Onset	Duration
NA	0.0	1.975
child	1.975	14.0
wife	15.975	14.0
wife	29.975	14.0
father	43.975	14.0
father	57.975	14.0
father	71.975	14.0
wife	85.975	14.0
six	99.975	14.009
father	113.984	13.991
wife	127.975	14.0
father	141.975	14.0
daughter	155.975	14.0
wife	169.975	14.0
three	183.975	14.008
child	197.983	14.0
child	211.983	14.0
daughter	225.983	14.0
father	239.983	14.002
three	253.985	13.998
four	267.983	14.002
daughter	281.985	13.998
ten	295.983	14.003
ten	309.986	14.0
three	323.986	13.997
four	337.983	14.0
three	351.983	14.0
four	365.983	14.0
wife	379.983	14.0
six	393.983	14.0
three	407.983	14.002
three	421.985	13.998
six	435.983	14.0
three	449.983	14.0
father	463.983	14.0
daughter	477.983	14.0
six	491.983	14.0
wife	505.983	14.0
four	519.983	14.0
three	533.983	14.0
wife	547.983	14.0
ten	561.983	14.0
child	575.983	14.0
child	589.983	14.002
six	603.985	13.998
three	617.983	14.0
four	631.983	14.0
six	645.983	14.0
three	659.983	14.0
ten	673.983	14.0
four	687.983	14.0
father	701.983	14.0
ten	715.983	14.0
ten	729.983	14.0
child	743.983	14.0
wife	757.983	14.0
father	771.983	14.0
father	785.983	14.0
three	799.983	14.0
daughter	813.983	14.0
father	827.983	14.0
four	841.983	14.0
six	855.983	14.003
wife	869.986	13.998
child	883.984	13.999
ten	897.983	14.0
six	911.983	14.0
six	925.983	14.002
daughter	939.985	13.998
child	953.983	14.0
wife	967.983	14.0
wife	981.983	14.0
daughter	995.983	14.0
three	1009.983	14.0
wife	1023.983	14.0
six	1037.983	14.0
six	1051.983	14.0
ten	1065.983	13.999
father	1079.982	14.0
ten	1093.982	14.001
daughter	1107.983	14.0
six	1121.983	13.999
four	1135.982	14.0
wife	1149.982	14.0
father	1163.982	14.0
six	1177.982	14.0
daughter	1191.982	14.0
three	1205.982	14.0
three	1219.982	14.0
ten	1233.982	14.0
four	1247.982	14.0
six	1261.982	14.0
wife	1275.982	14.0
daughter	1289.982	14.0
six	1303.982	14.0
child	1317.982	14.0
four	1331.982	14.0
child	1345.982	14.0
ten	1359.982	14.0
four	1373.982	14.0
ten	1387.982	14.0
ten	1401.982	14.0
four	1415.982	14.0
child	1429.982	14.0
child	1443.982	14.0
ten	1457.982	14.0
three	1471.982	14.011
father	1485.993	13.989
four	1499.982	14.0
wife	1513.982	14.0
daughter	1527.982	14.0
daughter	1541.982	14.0
daughter	1555.982	14.0
daughter	1569.982	14.0
child	1583.982	14.0
six	1597.982	14.0
six	1611.982	14.0
child	1625.982	14.0
wife	1639.982	14.0
ten	1653.982	14.001
four	1667.983	13.999
daughter	1681.982	14.0
daughter	1695.982	14.0
three	1709.982	14.0
six	1723.982	14.0
ten	1737.982	14.0
daughter	1751.982	14.0
ten	1765.982	14.0
child	1779.982	14.0
three	1793.982	14.0
three	1807.982	14.0
father	1821.982	14.0
six	1835.982	14.0
three	1849.982	14.0
three	1863.982	14.0
child	1877.982	14.0
ten	1891.982	14.0
daughter	1905.982	14.0
four	1919.982	14.0
four	1933.982	14.0
child	1947.982	14.0
wife	1961.982	14.0
father	1975.982	14.0
father	1989.982	13.999
child	2003.981	14.001
father	2017.982	13.999
child	2031.981	14.0
four	2045.981	14.001
four	2059.982	14.001
wife	2073.983	13.999
six	2087.982	13.999
daughter	2101.981	14.001
father	2115.982	13.999
wife	2129.981	14.0
four	2143.981	14.0
father	2157.981	14.0
four	2171.981	14.001
child	2185.982	14.001
ten	2199.983	13.998
daughter	2213.981	14.003
ten	2227.984	14.0
